annotation_id;annotator;comment;created_at;id;lead_time;rating;taxonomy;updated_at;Вопрос не решен;Вопрос решен;Не понравилась работа сотрудников;Не понравилась скорость работы;Не понравилось качество услуги;Не понравился результат услуги;Понравилась работа сотрудников;Понравилась скорость работы;Понравилось качество услуги;Понравился результат услуги;Претензии;Предложения
;;;;;;;;;;;;;;;;;;;;
2.0;1.0;спасибо;09.05.2025 19:31;2945792.0;7.376;5.0;"[{""taxonomy"":[[""Вопрос решен""]]}]";09.05.2025 19:31;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
3.0;1.0;спасибо!;09.05.2025 19:31;3234340.0;27.473;5.0;"[{""taxonomy"":[[""Вопрос решен""],[""Понравился результат услуги""],[""Понравилось качество услуги""]]}]";09.05.2025 19:31;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
4.0;1.0;Отлично ;09.05.2025 19:31;3380332.0;21.309;5.0;"[{""taxonomy"":[[""Понравился результат услуги""]]}]";09.05.2025 19:33;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
5.0;1.0;Благодарю за оперативное решение проблемы ! ;09.05.2025 19:31;3381812.0;11.322;5.0;"[{""taxonomy"":[[""Понравилась работа сотрудников""],[""Вопрос решен""],[""Понравилась скорость работы""]]}]";09.05.2025 19:31;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
6.0;1.0;Прекрасный специалист! Побольше таких;09.05.2025 19:32;3461991.0;22.029;5.0;"[{""taxonomy"":[[""Понравилась работа сотрудников""],[""Понравилась скорость работы""],[""Претензии и предложения""]]}]";10.05.2025 15:41;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
7.0;1.0;Спасибо ;09.05.2025 19:32;3551430.0;17.246;5.0;"[{""taxonomy"":[[""Вопрос решен""]]}]";09.05.2025 19:32;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
8.0;1.0;"пересчет, и скорость
";09.05.2025 19:32;3572768.0;16.404;1.0;"[{""taxonomy"":[[""Не понравилась работа сотрудников""],[""Не понравилась скорость работы""]]}]";09.05.2025 19:32;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
9.0;1.0;Спасибо за обновление покраски стен;09.05.2025 19:33;3584536.0;13.675;5.0;"[{""taxonomy"":[[""Понравился результат услуги""],[""Понравилось качество услуги""]]}]";09.05.2025 19:33;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
10.0;1.0;выполнили быстро;09.05.2025 19:33;3596020.0;4.631;5.0;"[{""taxonomy"":[[""Понравилась скорость работы""]]}]";09.05.2025 19:33;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
11.0;1.0;Спасибо! ;09.05.2025 19:33;3617808.0;5.248;5.0;"[{""taxonomy"":[[""Вопрос решен""],[""Понравился результат услуги""]]}]";09.05.2025 19:33;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
12.0;1.0;спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ;09.05.2025 19:33;3627490.0;15.148;5.0;"[{""taxonomy"":[[""Понравилась работа сотрудников""],[""Понравилась скорость работы""]]}]";09.05.2025 19:33;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
13.0;1.0;спасибо;09.05.2025 19:34;3657819.0;3.136;5.0;"[{""taxonomy"":[[""Вопрос решен""]]}]";09.05.2025 19:34;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
14.0;1.0;Спасибо ;09.05.2025 19:34;3691620.0;16.411;5.0;"[{""taxonomy"":[[""Вопрос решен""]]}]";09.05.2025 19:34;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
15.0;1.0;Решили мой вопрос. Спасибо! ;09.05.2025 19:34;3695420.0;4.174;5.0;"[{""taxonomy"":[[""Вопрос решен""]]}]";09.05.2025 19:34;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
16.0;1.0;Очень радует работа УК. Оперативно! Спасибо!;09.05.2025 19:34;3716702.0;24.698;5.0;"[{""taxonomy"":[[""Понравилась скорость работы""],[""Вопрос решен""],[""Понравилось качество услуги""]]}]";09.05.2025 19:34;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
17.0;1.0;Все исправили ;09.05.2025 19:35;3726842.0;30.402;5.0;"[{""taxonomy"":[[""Вопрос решен""]]}]";09.05.2025 19:35;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
18.0;1.0;спасибо за оперативную работу ;09.05.2025 19:35;3745025.0;4.309;5.0;"[{""taxonomy"":[[""Понравилась скорость работы""]]}]";09.05.2025 19:35;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
19.0;1.0;Выполнили отлично , обработка заявки была слишком дорогой ;09.05.2025 19:35;3749719.0;9.95;5.0;"[{""taxonomy"":[[""Не понравилась скорость работы""],[""Понравился результат услуги""]]}]";09.05.2025 19:35;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
20.0;1.0;спасибо большое! теперь не скрипят ;09.05.2025 19:35;3751364.0;8.611;5.0;"[{""taxonomy"":[[""Вопрос решен""],[""Понравился результат услуги""]]}]";09.05.2025 19:35;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
21.0;1.0;спасибо;09.05.2025 19:36;3766183.0;5.01;5.0;"[{""taxonomy"":[[""Вопрос решен""]]}]";09.05.2025 19:36;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
22.0;1.0;Спасибо!;09.05.2025 19:36;3770102.0;11.401;5.0;"[{""taxonomy"":[[""Понравился результат услуги""],[""Вопрос решен""]]}]";09.05.2025 19:36;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
23.0;1.0;Норм;09.05.2025 19:36;3773834.0;7.497;1.0;"[{""taxonomy"":[[""Не понравился результат услуги""]]}]";09.05.2025 19:36;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
24.0;1.0;спасибо. все прошло очень хорошо;09.05.2025 19:36;3791959.0;20.318;5.0;"[{""taxonomy"":[[""Вопрос решен""],[""Понравился результат услуги""]]}]";09.05.2025 19:36;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
25.0;1.0;Спасибо, пришли все поменяли за 10 минут ;09.05.2025 19:36;3797804.0;7.278;5.0;"[{""taxonomy"":[[""Понравилась работа сотрудников""],[""Понравилась скорость работы""],[""Вопрос решен""]]}]";09.05.2025 19:36;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
26.0;1.0;Все очень оперативно ;09.05.2025 19:37;3799741.0;4.311;5.0;"[{""taxonomy"":[[""Понравилась скорость работы""]]}]";09.05.2025 19:37;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
27.0;1.0;Огромное спасибо.;09.05.2025 19:37;3802024.0;10.098;5.0;"[{""taxonomy"":[[""Понравился результат услуги""]]}]";09.05.2025 19:37;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
28.0;1.0;Все отлично! Спасибо.;09.05.2025 19:37;3805876.0;9.512;5.0;"[{""taxonomy"":[[""Понравилась скорость работы""],[""Понравилось качество услуги""],[""Понравилась работа сотрудников""],[""Понравился результат услуги""],[""Вопрос решен""]]}]";09.05.2025 19:37;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
29.0;1.0;Хороший мастер;09.05.2025 19:37;3812092.0;4.92;5.0;"[{""taxonomy"":[[""Понравилась работа сотрудников""]]}]";09.05.2025 19:37;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
30.0;1.0;Спасибо за оперативность!;09.05.2025 19:37;3815412.0;2.683;5.0;"[{""taxonomy"":[[""Понравилась скорость работы""]]}]";09.05.2025 19:37;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
31.0;1.0;выполнена;09.05.2025 19:37;3820641.0;2.813;5.0;"[{""taxonomy"":[[""Вопрос решен""]]}]";09.05.2025 19:37;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
32.0;1.0;Все супер, Мастер 👍;09.05.2025 19:37;3828569.0;5.397;5.0;"[{""taxonomy"":[[""Понравилась работа сотрудников""],[""Понравился результат услуги""]]}]";09.05.2025 19:37;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
33.0;1.0;Благодарю ребят.;09.05.2025 19:38;3829748.0;42.31;5.0;"[{""taxonomy"":[[""Понравилась работа сотрудников""]]}]";09.05.2025 19:38;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
34.0;1.0;Спасибо большое ;09.05.2025 19:38;3831509.0;6.492;5.0;"[{""taxonomy"":[[""Вопрос решен""],[""Понравился результат услуги""]]}]";09.05.2025 19:38;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
35.0;1.0;спасибо;09.05.2025 19:38;3831883.0;3.299;5.0;"[{""taxonomy"":[[""Вопрос решен""]]}]";09.05.2025 19:38;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
36.0;1.0;Спасибо!;09.05.2025 19:38;3832952.0;3.198;5.0;"[{""taxonomy"":[[""Вопрос решен""],[""Понравился результат услуги""]]}]";09.05.2025 19:38;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
37.0;1.0;Проблема решена, ручки на окна поставили. Спасибо за обратную связь!;09.05.2025 19:39;3834081.0;16.325;5.0;"[{""taxonomy"":[[""Вопрос решен""],[""Понравился результат услуги""],[""Понравилось качество услуги""],[""Понравилась работа сотрудников""]]}]";09.05.2025 19:39;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
38.0;1.0;Благодарю за проделанную работу! ;09.05.2025 19:39;3835748.0;28.613;5.0;"[{""taxonomy"":[[""Понравился результат услуги""],[""Понравилось качество услуги""]]}]";09.05.2025 19:39;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
39.0;1.0;надеюсь и причину устранили, а то после первого дождя будет тоже самое..;09.05.2025 19:40;3835874.0;46.609;5.0;"[{""taxonomy"":[[""Не понравилось качество услуги""]]}]";09.05.2025 19:40;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
40.0;1.0;Спасибо, всё чётко.;09.05.2025 19:40;3839647.0;4.141;5.0;"[{""taxonomy"":[[""Понравилась скорость работы""],[""Понравилось качество услуги""],[""Понравилась работа сотрудников""],[""Понравился результат услуги""],[""Вопрос решен""]]}]";09.05.2025 19:40;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
41.0;1.0;Благодарю ;09.05.2025 19:40;3840353.0;3.985;5.0;"[{""taxonomy"":[[""Вопрос решен""]]}]";09.05.2025 19:40;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
42.0;1.0;Спасибо Сергей ! ))));09.05.2025 19:40;3841026.0;5.829;5.0;"[{""taxonomy"":[[""Понравилась работа сотрудников""],[""Вопрос решен""]]}]";09.05.2025 19:40;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
43.0;1.0;Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации);09.05.2025 19:41;3842440.0;11.704;5.0;"[{""taxonomy"":[[""Понравилась работа сотрудников""],[""Понравилось качество услуги""],[""Понравился результат услуги""],[""Понравилась скорость работы""],[""Вопрос решен""]]}]";09.05.2025 19:41;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
44.0;1.0;хоть что то сделали 👍👏;09.05.2025 19:41;3842790.0;21.858;5.0;"[{""taxonomy"":[[""Не понравилось качество услуги""]]}]";09.05.2025 19:41;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
45.0;1.0;спасибо);09.05.2025 19:41;3843760.0;2.864;5.0;"[{""taxonomy"":[[""Вопрос решен""]]}]";09.05.2025 19:41;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
46.0;1.0;профессионально, быстро. очень приятный мастер;09.05.2025 19:41;3844645.0;7.301;5.0;"[{""taxonomy"":[[""Понравилась работа сотрудников""],[""Понравилась скорость работы""]]}]";09.05.2025 19:41;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
47.0;1.0;спасибо! ;09.05.2025 19:41;3846820.0;3.285;5.0;"[{""taxonomy"":[[""Вопрос решен""]]}]";09.05.2025 19:41;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
48.0;1.0;Спасибо, вопрос решили, всё стало нормально ;09.05.2025 19:42;3846831.0;11.839;5.0;"[{""taxonomy"":[[""Понравился результат услуги""],[""Вопрос решен""],[""Понравилось качество услуги""]]}]";09.05.2025 19:42;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
49.0;1.0;Татьяна Владимировна большое вам спасибо!!!! ;09.05.2025 19:42;3848236.0;4.101;5.0;"[{""taxonomy"":[[""Понравилась работа сотрудников""]]}]";09.05.2025 19:42;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
50.0;1.0;спасибо! ;09.05.2025 19:42;3850021.0;2.768;5.0;"[{""taxonomy"":[[""Вопрос решен""]]}]";09.05.2025 19:42;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
51.0;1.0;спасибо за  быстрый ответ!;09.05.2025 19:42;3850118.0;4.99;1.0;"[{""taxonomy"":[[""Понравилась скорость работы""]]}]";09.05.2025 19:42;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
52.0;1.0;Огромное спасибо вам от всего подъезда!!!   )))));09.05.2025 19:43;3852179.0;51.559;5.0;"[{""taxonomy"":[[""Вопрос решен""]]}]";09.05.2025 19:43;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
