comment,rating,Вопрос не решен,Вопрос решен,Не понравилось качество услуги,Не понравился результат услуги,Понравилась работа сотрудников,Понравилась скорость работы,Понравилось качество услуги,Понравился результат услуги,Претензии и предложения
спасибо,5.0,0,1,0,0,0,0,0,0,0
спасибо!,5.0,0,1,0,0,0,0,1,1,0
Отлично ,5.0,0,0,0,0,0,0,0,1,0
Благодарю за оперативное решение проблемы ! ,5.0,0,1,0,0,1,1,0,0,0
Прекрасный специалист! Побольше таких,5.0,0,0,0,0,1,1,0,0,1
Спасибо ,5.0,0,1,0,0,0,0,0,0,0
"пересчет, и скорость
",1.0,0,0,1,0,0,0,0,0,1
Спасибо за обновление покраски стен,5.0,0,0,0,0,0,0,1,1,0
выполнили быстро,5.0,0,0,0,0,0,1,0,0,0
Спасибо! ,5.0,0,1,0,0,0,0,0,1,0
спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ,5.0,0,0,0,0,1,1,0,0,0
Решили мой вопрос. Спасибо! ,5.0,0,1,0,0,0,0,0,0,0
Очень радует работа УК. Оперативно! Спасибо!,5.0,0,1,0,0,0,1,1,0,0
Все исправили ,5.0,0,1,0,0,0,0,0,0,0
спасибо за оперативную работу ,5.0,0,0,0,0,0,1,0,0,0
"Выполнили отлично , обработка заявки была слишком дорогой ",5.0,0,0,0,0,0,0,0,1,1
спасибо большое! теперь не скрипят ,5.0,0,1,0,0,0,0,0,1,0
Спасибо!,5.0,0,1,0,0,0,0,0,1,0
Норм,1.0,0,0,0,1,0,0,0,0,0
спасибо. все прошло очень хорошо,5.0,0,1,0,0,0,0,0,1,0
"Спасибо, пришли все поменяли за 10 минут ",5.0,0,1,0,0,1,1,0,0,0
Все очень оперативно ,5.0,0,0,0,0,0,1,0,0,0
Огромное спасибо.,5.0,0,0,0,0,0,0,0,1,0
Все отлично! Спасибо.,5.0,0,1,0,0,1,1,1,1,0
Хороший мастер,5.0,0,0,0,0,1,0,0,0,0
Спасибо за оперативность!,5.0,0,0,0,0,0,1,0,0,0
выполнена,5.0,0,1,0,0,0,0,0,0,0
"Все супер, Мастер  палец вверх",5.0,0,0,0,0,1,0,0,1,0
Благодарю ребят.,5.0,0,0,0,0,1,0,0,0,0
Спасибо большое ,5.0,0,1,0,0,0,0,0,1,0
"Проблема решена, ручки на окна поставили. Спасибо за обратную связь!",5.0,0,1,0,0,1,0,1,1,0
Благодарю за проделанную работу! ,5.0,0,0,0,0,0,0,1,1,0
"надеюсь и причину устранили, а то после первого дождя будет тоже самое..",5.0,0,0,1,0,0,0,0,0,0
"Спасибо, всё чётко.",5.0,0,1,0,0,1,1,1,1,0
Благодарю ,5.0,0,1,0,0,0,0,0,0,0
Спасибо Сергей ! )))),5.0,0,1,0,0,1,0,0,0,0
"Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)",5.0,0,1,0,0,1,1,1,1,0
хоть что то сделали  палец вверх аплодисменты,5.0,0,0,1,0,0,0,0,0,0
спасибо),5.0,0,1,0,0,0,0,0,0,0
"профессионально, быстро. очень приятный мастер",5.0,0,0,0,0,1,1,0,0,0
спасибо! ,5.0,0,1,0,0,0,0,0,0,0
"Спасибо, вопрос решили, всё стало нормально ",5.0,0,1,0,0,0,0,1,1,0
Татьяна Владимировна большое вам спасибо!!!! ,5.0,0,0,0,0,1,0,0,0,0
спасибо за  быстрый ответ!,1.0,0,0,0,0,0,1,0,0,0
Огромное спасибо вам от всего подъезда!!!   ))))),5.0,0,1,0,0,0,0,0,0,0
спасибо!),5.0,0,1,0,0,0,0,0,0,0
спасибо ,5.0,0,1,0,0,0,0,0,0,0
Все отлично ,5.0,0,1,0,0,1,1,1,1,0
свершилось,1.0,0,0,0,0,0,0,0,0,1
Спасибо мастеру ,5.0,0,0,0,0,1,0,0,0,0
"спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи рукопожатие",5.0,0,0,0,0,1,1,0,0,0
"Среагировали быстро, благодарю ",5.0,0,1,0,0,0,1,0,0,0
Отличный мастер!,5.0,0,0,0,0,1,0,0,0,0
"Спасибо! По крайней мере, по ночам пока шума не слышно.",5.0,0,1,0,0,0,0,0,1,0
Быстро ,5.0,0,0,0,0,0,1,0,0,0
Спасибо за своевременное выполнение заявки...,5.0,0,1,0,0,0,1,0,0,0
все сделали быстро. спасибо ,5.0,0,1,0,0,0,1,0,0,0
всё отлично  палец вверх,5.0,0,1,0,0,1,1,1,1,0
"Большое спасибо Александру,за оперативность и профессионализм ",5.0,0,0,0,0,1,1,1,1,0
благодарю ,5.0,0,1,0,0,0,0,0,0,0
оперативно и качественно. спасибо ,5.0,0,1,0,0,0,1,1,0,0
"благодарю, всего доброго!",5.0,0,1,0,0,0,0,0,0,0
Спасибо большое! ,5.0,0,1,0,0,0,0,0,1,0
К мастеру вопросов нет.  ,3.0,0,0,1,1,1,0,0,0,1
"Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!",5.0,0,1,0,0,1,0,0,0,0
"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ",5.0,0,1,0,0,1,0,0,0,0
спасибо большое! надолго ли лицо с закатывающимися глазами,5.0,0,1,1,0,0,0,0,0,0
Огромное спасибо! ,5.0,0,1,0,0,1,1,1,1,0
Всё очень четко организовано! Большое спасибо за работу!,5.0,0,1,0,0,0,0,1,1,0
Спасибо Вам большое и за дверь и за номера квартир!,5.0,0,1,0,0,0,0,0,0,0
снимаю звезду за первую отписку без выполнения работ,3.0,0,0,0,1,0,0,0,0,1
"В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ",5.0,0,1,0,0,1,1,0,0,0
Спасибо! Все заработало ,5.0,0,1,0,0,0,0,0,0,0
"спасибо, решили мой вопрос на месте в офисе ",5.0,0,1,0,0,0,0,0,0,0
"Спасибо больше Ольге Птушкине, за проделанную работу! ",5.0,0,0,0,0,1,0,0,0,0
"всё сделали хорошо, починили вовремя. наверное, молодцы.",5.0,0,1,0,0,1,1,0,0,0
Спасибо,5.0,0,1,0,0,0,0,0,0,0
Супер! Спасибо!,5.0,0,1,0,0,0,0,0,1,0
Отлично! Все выполнили как и обещали! ,5.0,0,1,0,0,0,0,0,1,0
Очень оперативно. Спасибо большое ,5.0,0,1,0,0,0,1,0,0,0
"Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.",5.0,0,1,0,0,1,1,1,1,0
Умело подкрутили редукторы давления. Молодец!,5.0,0,1,0,0,0,0,1,0,0
"все хорошо,дверь практически бесшумно закрывается",5.0,0,1,0,0,0,0,0,1,0
"проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам",5.0,0,0,0,0,1,0,0,0,0
"быстро, чётко, без проблем. одно слово - мастер! ",5.0,0,1,0,0,1,1,1,1,0
Работает. Спасибо!,5.0,0,1,0,0,0,0,0,1,0
"сегодня ездил, все исправно работает, спасибо!",5.0,0,1,0,0,0,0,0,1,0
"Спасибо большое, всё понятно.",5.0,0,1,0,0,0,0,0,0,0
Татьяна спасибо  красное сердце,5.0,0,1,0,0,1,0,0,0,0
На вопрос ответили. Крепления нельзя повесить в колясочной,5.0,0,1,0,0,0,0,0,0,0
Большое спасибо!,5.0,0,1,0,0,0,0,0,0,0
Лучший ,5.0,0,0,0,0,1,0,0,0,0
спасибо за оперативность ,5.0,0,0,0,0,0,1,0,0,0
спасибо за то что быстро отреагировали,5.0,0,0,0,0,0,1,0,0,0
"Сервис на высоте, мастер - профессионал",5.0,0,1,0,0,1,0,1,1,0
спасибо большое,5.0,0,1,0,0,0,0,0,0,0
ок ,1.0,1,0,0,0,0,0,0,0,0
Надолго ли(,2.0,0,0,1,0,0,0,0,0,0
Спасибо. Все работает,5.0,0,1,0,0,0,0,0,1,0
Спасибо большое!,5.0,0,1,0,0,0,0,0,0,0
"заявка выполнена, спасибо.",5.0,0,1,0,0,0,0,0,0,0
Дверь закрывается намного лучше.,5.0,0,1,0,0,0,0,0,1,0
Спасибо за быстрое реагирование!!!,5.0,0,0,0,0,0,1,0,0,0
"Оперативно сработали, благодарю.",5.0,0,0,0,0,0,1,0,0,0
"Спасибо сантехнику Алексею, все сделано качественно ",5.0,0,0,0,0,1,0,1,1,0
"Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!",5.0,0,1,0,0,1,1,0,1,0
Очень оперативно и никуда не пришлось ходить.,5.0,0,1,0,0,0,1,0,0,0
Проблема решена.,5.0,0,1,0,0,0,0,0,0,0
Очень оперативно отреагировали! Спасибо!,5.0,0,0,0,0,0,1,0,0,0
"оперативно, качественно, вопросов не возникло. Спасибо.",5.0,0,1,0,0,0,1,1,0,0
Быстро!,5.0,0,0,0,0,0,1,0,0,0
Благодарю за оперативность!,5.0,0,0,0,0,0,1,0,0,0
спасибо за оперативное решение проблемы. ,5.0,0,1,0,0,0,1,0,0,0
Оперативная работа,1.0,0,0,0,0,0,1,0,0,0
