annotation_id,annotator,comment,created_at,id,lead_time,rating,taxonomy,updated_at,Вопрос не решен,Вопрос решен,Не понравилась работа сотрудников,Не понравилась скорость работы,Не понравилось качество услуги,Не понравился результат услуги,Понравилась работа сотрудников,Понравилась скорость работы,Понравилось качество услуги,Понравился результат услуги,Претензии,Предложения
,,,,,,,,,,,,,,,,,,,,
2.0,1.0,спасибо,2025-05-09 19:31:02.949,2945792.0,7.376,5.0,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-09 19:31:02.949,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3.0,1.0,спасибо!,2025-05-09 19:31:32.126,3234340.0,27.473,5.0,"[{""taxonomy"":[[""Вопрос решен""],[""Понравился результат услуги""],[""Понравилось качество услуги""]]}]",2025-05-09 19:31:32.126,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4.0,1.0,Отлично ,2025-05-09 19:31:46.115,3380332.0,21.309,5.0,"[{""taxonomy"":[[""Понравился результат услуги""]]}]",2025-05-09 19:33:26.625,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5.0,1.0,Благодарю за оперативное решение проблемы ! ,2025-05-09 19:31:58.712,3381812.0,11.322,5.0,"[{""taxonomy"":[[""Понравилась работа сотрудников""],[""Вопрос решен""],[""Понравилась скорость работы""]]}]",2025-05-09 19:31:58.712,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
6.0,1.0,Прекрасный специалист! Побольше таких,2025-05-09 19:32:18.239,3461991.0,22.029,5.0,"[{""taxonomy"":[[""Понравилась работа сотрудников""],[""Понравилась скорость работы""],[""Претензии и предложения""]]}]",2025-05-10 15:41:41.707,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7.0,1.0,Спасибо ,2025-05-09 19:32:37.288,3551430.0,17.246,5.0,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-09 19:32:37.288,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8.0,1.0,"пересчет, и скорость _x000D_
",2025-05-09 19:32:56.125,3572768.0,16.404,1.0,"[{""taxonomy"":[[""Не понравилась работа сотрудников""],[""Не понравилась скорость работы""]]}]",2025-05-09 19:32:56.125,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
9.0,1.0,Спасибо за обновление покраски стен,2025-05-09 19:33:11.180,3584536.0,13.675,5.0,"[{""taxonomy"":[[""Понравился результат услуги""],[""Понравилось качество услуги""]]}]",2025-05-09 19:33:11.180,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
10.0,1.0,выполнили быстро,2025-05-09 19:33:32.758,3596020.0,4.631,5.0,"[{""taxonomy"":[[""Понравилась скорость работы""]]}]",2025-05-09 19:33:32.758,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
11.0,1.0,Спасибо! ,2025-05-09 19:33:39.496,3617808.0,5.248,5.0,"[{""taxonomy"":[[""Вопрос решен""],[""Понравился результат услуги""]]}]",2025-05-09 19:33:39.496,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
12.0,1.0,спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ,2025-05-09 19:33:56.281,3627490.0,15.148,5.0,"[{""taxonomy"":[[""Понравилась работа сотрудников""],[""Понравилась скорость работы""]]}]",2025-05-09 19:33:56.281,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
13.0,1.0,"спасибо _x000D_
",2025-05-09 19:34:06.703,3657819.0,3.136,5.0,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-09 19:34:06.703,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
14.0,1.0,Спасибо ,2025-05-09 19:34:25.105,3691620.0,16.411,5.0,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-09 19:34:25.106,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
15.0,1.0,Решили мой вопрос. Спасибо! ,2025-05-09 19:34:30.546,3695420.0,4.174,5.0,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-09 19:34:30.546,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
16.0,1.0,Очень радует работа УК. Оперативно! Спасибо!,2025-05-09 19:34:56.885,3716702.0,24.698,5.0,"[{""taxonomy"":[[""Понравилась скорость работы""],[""Вопрос решен""],[""Понравилось качество услуги""]]}]",2025-05-09 19:34:56.885,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
17.0,1.0,Все исправили ,2025-05-09 19:35:28.905,3726842.0,30.402,5.0,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-09 19:35:28.905,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
