id,comment,rating,Вопрос не решен,Вопрос решен,Не понравилось качество услуги,Не понравился результат услуги,Понравилась работа сотрудников,Понравилась скорость работы,Понравилось качество услуги,Понравился результат услуги,Претензии и предложения
3868883,всё отлично 👍,5,0,0,0,0,0,0,0,1,0
4211689,"все супер ,спасибо -))))",5,0,0,0,0,0,0,0,1,0
4225170,пришли очень оперативно !,5,0,0,0,0,0,1,0,0,0
4208073,"спасибо, все выполнено быстро",5,0,1,0,0,0,1,0,0,0
3892591,Спасибо мастеру Сергею за четкую работу! ,5,0,1,0,0,1,0,1,1,0
4190639,очень быстро отреагировали,5,0,0,0,0,0,1,0,0,0
3937649,Спасибо!,5,0,1,0,0,0,0,0,0,0
3507812,"долго, но приятно",5,0,0,0,0,0,0,0,1,1
3919099,Спасибо за выписки. Счет на эту сумму когда подкрепят в приложение?,5,0,1,0,0,0,0,0,0,0
4236740,спасибо за оперативность! супер!,5,0,0,0,0,0,1,0,1,0
3938590,Все оперативно и качественно!,5,0,0,0,0,0,1,1,0,0
4212171,спасибо за оперативность,5,0,0,0,0,0,1,0,0,0
4213725,"огромное спасибо, за молниеносное решение проблемы.",5,0,1,0,0,0,1,0,0,0
3952299,спасибо ,5,0,1,0,0,0,0,0,0,0
3932575,Хороший мастер сделал всё быстро ,5,0,0,0,0,1,1,0,0,0
4235452,спасибо!,5,0,1,0,0,0,0,0,0,0
4224936,супер мастер,5,0,0,0,0,1,0,0,0,0
3935906,Супер! Спасибо большое!,5,0,1,0,0,0,0,0,0,0
4187921,111,5,1,0,0,0,0,0,0,0,0
4203848,спасибо сантехнику сергею за работы по устранению неполадки в системе гвс.,5,0,1,0,0,1,0,0,1,0
3948632,Спасибо большое за оперативность и качество!❤,5,0,0,0,0,0,1,1,1,0
4191031,спасибо большое за оперативный ответ,5,0,0,0,0,0,1,0,0,0
4186370,оперативно пришел сотрудник и нашел источник протечки,5,0,1,0,0,0,1,0,0,0
3939998,Молодцы  большое спасибо Оксана!,5,0,0,0,0,1,0,0,0,0
3949634,Спасибо большое.,5,0,1,0,0,0,0,0,0,0
3942047,Спасибо!,5,0,1,0,0,0,0,0,0,0
3918254,Спасибо за оперативность! ,5,0,0,0,0,0,1,0,0,0
3911421,спасибо за работу все быстро и качественно. ,5,0,1,0,0,0,1,1,0,0
4172321,спасибо огромное за перепрограммирование,5,0,0,0,0,0,0,0,1,0
4200717,выполнено,5,0,1,0,0,0,0,0,0,0
3921766,спасибо за оперативность ,5,0,0,0,0,0,1,0,0,0
4228059,спасибо за оперативность!,5,0,0,0,0,0,1,0,0,0
4192316,спасибо огромное!,5,0,1,0,0,0,0,0,0,0
3892548,Спасибо) там правда все убрали и стало прям чисто) если можете еще отмыть пятна чего-то… буду очень вам признателен) возможно там нужна не только тряпка),5,0,1,0,0,0,0,1,0,1
4216758,очень понравилась работа игоря.,5,0,0,0,0,1,0,0,0,0
4211265,спасибо большое!,5,0,1,0,0,0,0,0,0,0
4213295,много времени прошло с момента обращения,5,0,0,0,0,0,0,0,0,1
4230835,оперативно!,5,0,0,0,0,0,1,0,0,0
4195248,"отлично, большое спасибо",5,0,0,0,0,0,0,0,1,0
3903406,спасибо! быстро и оперативно,5,0,1,0,0,0,1,0,0,0
3934650,Спасибо за обратную связь! ,5,0,1,0,0,0,0,0,0,0
3669717,оплачено,5,0,1,0,0,0,0,0,0,0
3906032,"Хотелось, что бы каждый месяц присылали квитанцию на почту или в приложении",5,0,0,1,0,0,0,0,0,1
3862448,Отличный мастер!,5,0,0,0,0,1,0,0,0,0
4193646,спасибо!,5,0,1,0,0,0,0,0,0,0
4226089,"спасибо,скажите пожалуйста,на андроид откуда можно скачать данное приложение? не получается,пишет,что не поддерживается",5,0,0,0,0,0,0,0,0,1
3949875,Доброго дня! Спасибо за таких Прекрасных Сотрудников! ,5,0,0,0,0,1,0,0,0,0
3916058,Благодарю!,5,0,1,0,0,0,0,0,0,0
4184905,"мастер быстро отреагировал, сразу пришел , проблему решили",5,0,1,0,0,0,1,0,1,0
3934049,"Огромное спасибо, очень помогли! Быстро и профессионально!",5,0,1,0,0,0,1,1,1,0
3942831,Роман и его коллега СУПЕР специалисты 👍🏻👍🏻👍🏻,5,0,0,0,0,1,0,0,0,0
3921135,"было бы 5 звезд, но пришлось действовать через руководство, поэтому четыре.",4,0,0,1,0,0,0,0,0,1
4194077,все хорошо,5,0,0,0,0,0,0,0,1,0
3928297,Быстро и оперативно спасибо мастеру ,5,0,0,0,0,1,1,0,0,0
